Thickness,Na,TiO2_Th,Bulk_def,Temp,IF_def,Affinity,JsC,Voc,FF,PCE
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+09,3.90E+00,26.70557605,0.839622,80.8382,18.126
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+09,4.10E+00,26.73218842,0.639485,76.8918,13.1445
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+10,3.70E+00,26.72705082,0.962728,82.9151,21.3348
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+10,3.90E+00,26.70557384,0.839622,80.8381,18.126
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+10,4.10E+00,26.73218634,0.639485,76.8918,13.1445
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+11,3.70E+00,26.72702661,0.962153,82.867,21.3096
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+11,3.90E+00,26.70555169,0.839621,80.8378,18.1259
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+11,4.10E+00,26.73216554,0.639485,76.8917,13.1445
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+12,3.70E+00,26.72678456,0.956846,82.4614,21.0882
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+12,3.90E+00,26.70533029,0.839614,80.8344,18.1248
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+12,4.10E+00,26.73195759,0.639484,76.8909,13.1442
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+09,3.70E+00,26.71026933,1.043596,80.5239,22.4458
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+09,3.90E+00,26.6990067,0.912103,82.105,19.9944
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+09,4.10E+00,26.71938062,0.707362,79.3369,14.9949
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+10,3.70E+00,26.71026741,1.043416,80.5313,22.444
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+10,3.90E+00,26.69900486,0.912103,82.105,19.9944
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+10,4.10E+00,26.71937888,0.707362,79.3369,14.9949
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+11,3.70E+00,26.71024817,1.041675,80.6028,22.4264
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+11,3.90E+00,26.6989864,0.912102,82.1045,19.9943
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+11,4.10E+00,26.71936145,0.707362,79.3368,14.9949
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+12,3.70E+00,26.71005579,1.028146,81.119,22.2768
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+12,3.90E+00,26.69880185,0.912096,82.1001,19.9929
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.00E+02,1.00E+12,4.10E+00,26.7191872,0.707361,79.336,14.9946
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+09,3.70E+00,26.70973984,1.00169,81.0084,21.6737
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+09,3.90E+00,26.69289754,0.875572,81.216,18.9814
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+09,4.10E+00,26.7108402,0.672783,77.9617,14.0102
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+10,3.70E+00,26.70973769,1.001585,81.0098,21.6718
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+10,3.90E+00,26.69289552,0.875572,81.216,18.9814
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+10,4.10E+00,26.71083829,0.672783,77.9617,14.0102
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+11,3.70E+00,26.70971611,1.000394,81.0363,21.6531
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+11,3.90E+00,26.69287526,0.875572,81.2156,18.9813
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+11,4.10E+00,26.71081922,0.672782,77.9616,14.0101
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+12,3.70E+00,26.70950032,0.990316,81.2463,21.4903
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+12,3.90E+00,26.69267273,0.875565,81.2117,18.9801
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.25E+02,1.00E+12,4.10E+00,26.71062855,0.672781,77.9608,14.0099
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+09,3.70E+00,26.71083191,0.956837,81.104,20.7285
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+09,3.90E+00,26.68725372,0.838126,80.2302,17.9453
